A,B,C,D
1,6,54.12,91.19
2,35,63.98,294.09
3,25,74.27,224.33
4,33,84.08,280.13
5,39,94.2,322.16
6,4,104.27,77.04
7,38,114.37,315.28
8,25,124.16,224
9,21,134.11,196.28
10,2,144.26,63.04
11,18,154.24,175.1
12,39,164.19,322.1
13,2,174.36,63
14,29,184.3,252.1
15,36,194.29,301.25
16,15,204.25,154.14
17,21,214.23,196.05
18,3,224.01,70.15
19,5,234.22,84.28
20,27,244.24,238.08
21,25,254.34,224.35
22,38,264.25,315.08
23,10,274.19,119.07
24,12,284.09,133.31
25,17,294.37,168.14
26,4,304.12,77.34
27,12,314.25,133.19
28,19,324.29,182.22
29,36,334.26,300.98
30,18,344.14,175.16
31,21,355,195.99
32,14,364.08,147.29
33,1,374.18,56
34,15,384.19,154.04
35,26,394.04,231.13
36,25,404.21,224.17
37,32,414.17,273.21
38,11,424.3,126.32
39,34,434.07,287.2
40,23,444.07,210.31
41,31,454.26,266.12
42,24,464.32,217.22
43,16,474.26,161.34
44,10,484.01,119.08
45,16,494.19,161.14
46,32,504.36,273.29
47,3,514.28,70.08
48,19,524.32,182.33
49,13,534.26,140.34
50,28,544.01,245.35
51,21,554.24,196.23
52,35,564.09,294.1
53,11,574.17,125.98
54,7,584.27,98.01
55,17,594.35,168.22
56,26,604.19,231.12
57,17,614.15,168.35
58,20,624.34,189.29
59,15,633.99,154.09
60,11,644.27,126.13
61,0,654.08,49.31
62,18,664.35,175.02
63,30,674.06,259.21
64,30,684.06,259.02
65,25,694.15,224
66,1,704.01,56.21
67,15,714.19,153.98
68,12,723.99,133.26
69,35,734.06,294.28
70,7,744.09,98.09
71,14,754.09,147.2
72,7,764.27,98.09
73,4,774.09,77.18
74,19,784.31,182.18
75,24,794.16,217.35
76,18,804.09,175.31
77,1,814.17,56.04
78,34,824.21,287.05
79,14,834.17,147.05
80,36,844.16,301.08
81,8,854.22,105.19
82,22,864.21,203.01
83,33,874.25,280.12
84,13,884.05,140.06
85,25,894.21,224.16
86,15,903.99,154.28
87,8,914.32,104.99
88,14,924.26,147.22
89,13,934.33,140.33
90,20,944.29,189.03
91,30,954.37,259.27
92,3,964.19,70.11
93,6,974.13,90.98
94,13,984.18,140.37
95,21,994.36,196.2
96,39,1004.11,322.13
97,21,1014.19,196.08
98,14,1024.33,147.28
99,31,1034.06,266.23
100,26,1044.18,231.15
