A,B,C,D,E,F
21,155.03,4,45.39,45.962,45.9619
28,211.15,8,97.13,-26.625,-57.0974
15,107.46,22,279.33,-24.1347,-22.5059
35,267.48,35,448.27,-9.37757,-22.0921
24,179.53,39,500.13,-52.0658,-62.0496
1,-4.71,14,175.34,-2.63023,-5.39276
7,43.51,10,123.04,-14.0842,-26.4884
28,211.14,16,201.47,-29.4138,-80.8135
9,59.18,38,487.33,53.427,33.3849
39,299.56,3,32.55,10.5498,24.8536
6,35.46,14,174.97,-11.4681,-8.03006
31,235.03,6,70.98,-39.4972,-77.5175
8,50.98,26,331.33,17.4285,26.8374
4,19.3,25,318.51,17.4527,23.1604
21,155.45,0,-6.79,83.9568,52.462
6,35.54,8,97.29,57.2222,51.523
24,179.37,13,161.99,60.8609,11.8301
11,74.99,20,253.46,-42.8564,-23.7557
21,155.52,37,474.35,41.5253,55.1058
26,195.28,7,84.03,19.589,64.0724
26,195.31,35,448.11,-1.03008,-1.71433
1,-4.8,4,45.43,4.87185,1.12475
25,187.05,33,422.42,-71.1449,-42.7481
29,219.27,3,32.35,83.2056,28.65
16,115.24,27,344.52,-11.9707,-32.8892
5,27.08,9,110.49,-6.06405,-21.1478
36,275.16,14,175.1,10.9881,23.564
23,171.48,20,253.05,6.55322,4.58861
4,19.46,20,253.44,-32.0011,-65.6119
12,83.12,8,97.56,-6.36833,-15.7621
34,259.25,37,474.32,-85.7365,-49.5
15,107.26,26,331.46,-77.0397,-12.2019
21,155.15,15,188.51,22.5167,13
24,179.28,4,45.21,26.2225,64.9028
5,27.19,11,136.5,-44.2933,-73.7164
39,299.37,22,279.33,-18.3851,-15.4269
23,171.4,5,58.06,71.2361,44.5132
34,259.43,17,214.38,-98.7688,-15.6434
37,283.53,27,344.3,-74.1747,-29.9685
9,59.35,12,148.97,49.9507,66.2867
34,258.99,18,227.05,-9.3358,-3.58368
24,179.1,9,110.46,-13.2115,-10.6984
8,51.46,32,409.23,25.7519,42.8583
2,3.36,0,-6.74,26.355,19.8599
18,131.19,30,383.19,-92.6608,-31.9057
32,243.05,28,357.28,9.40457,12.9443
17,122.97,24,305.16,28.1386,7.01573
5,27.15,8,97.14,32.916,45.3049
13,91.15,18,227.5,-22.9269,-33.9905
25,187.46,5,58.33,-54.3366,-13.5476
22,163.33,27,344.27,-72.2746,-58.5268
1,-4.66,4,45.23,37.303,30.2074
5,27.1,24,305.51,81.688,7.14676
5,27.52,10,123.4,-66.1793,-63.9085
7,43.02,10,123.41,-86.5874,-47.9961
4,19.32,11,136.48,-60.6173,-42.4446
15,107.24,27,344.37,24.4537,5.19779
26,195.28,0,-7.01,-54.4529,-62.6409
22,163.39,9,110.01,-10.7901,-10.4199
13,91.21,35,448.12,57.8683,37.5801
30,227.5,4,44.98,-36.7089,-52.4257
11,75.49,9,110.48,28.2827,33.7059
38,290.99,18,227.48,-10.2846,-12.2567
5,27.55,9,110.32,-16.8044,-6.45062
24,179.44,11,136.36,78.417,23.9745
0,-12.51,25,318.21,31.3849,10.1976
26,195.54,25,318.04,-88.4361,-25.3586
2,3.03,3,32.09,41.5544,25.966
7,43.32,25,318.45,-45.6773,-20.3368
15,107.03,26,331.03,52.9856,23.5907
38,291.15,21,266.32,-17.923,-55.1613
20,147.37,4,45.43,26.179,61.6738
39,299.39,10,123.2,52.3259,52.3259
2,3.31,35,447.97,-36.6188,-68.8699
39,299.34,15,188.23,-16.8573,-41.7233
27,203.22,3,32.25,22.2493,68.476
27,203.3,17,214.48,32.7822,39.0682
35,267.07,19,240.43,-13.1113,-32.4514
38,291.05,39,500.42,44.612,51.3202
14,99.16,11,136.26,30.6744,20.6901
35,267.01,24,305.35,67.6844,27.3463
36,275.37,22,279.42,-24.0887,-26.7532
22,163.36,3,32.38,55.3892,53.4887
27,203.12,9,110.23,18.5411,57.0634
0,-12.69,8,97.41,-48.3014,-41.9878
23,171.48,30,383.56,-13.3388,-36.648
36,275.06,36,461.47,-3.99318,-3.00907
23,171.14,31,396.44,10.049,4.4741
8,51.35,16,201.34,59.3398,23.9748
26,195.14,23,292.51,-16.2627,-56.7144
12,83.33,2,19.4,-4.72759,-1.62784
38,291.41,33,422.03,-36.3452,-77.9424
38,291.15,30,383.19,-2.42705,-1.76335
31,235.54,39,500.04,-56.6873,-47.5662
16,115.29,24,305.09,-18.6571,-11.6582
3,11.28,33,422.23,-45.748,-4.80831
22,163.41,37,474.04,4.47411,10.049
8,51.38,1,6.47,-56.7831,-4.96787
11,75.03,19,239.99,43.2259,15.7329
29,218.99,17,214.51,27.6835,36.7372
23,171.27,19,240.06,41.5692,24
10,67.27,29,370.44,35.3833,10.8177
10,67.54,34,435.01,-16.8139,-58.6369
6,35.47,16,201.03,-10.912,-11.7017
31,235.31,36,461.18,19.0211,6.18033
9,59,13,161.97,82.6891,40.3301
5,27.11,3,32.03,74.2731,55.9688
39,299.33,22,279.02,41.6795,43.1604
14,99.35,24,305.39,38.1353,74.8445
16,115.05,14,175.3,-3.58126,-10.4007
28,211.47,22,279.5,88.892,14.0791
26,195.24,1,6.46,-29.5781,-36.5258
33,251.41,22,279.52,-62.098,-34.4215
29,219.33,13,162.5,-6.15662,-7.8801
33,251.44,5,58.17,5.81773,10.4954
6,35.37,16,201.45,-13.7415,-44.9463
35,267.28,25,318.33,-11.0255,-38.4505
14,99.02,3,32.34,-13.3388,-36.648
11,75.27,13,162.53,13.1113,32.4514
6,35.05,2,19.2,-30.9023,-51.43
10,67.24,14,175.35,8.81679,12.1352
17,123.39,2,19.31,36.0527,60.0017
33,251.22,20,253.46,-54.1834,-56.1085
6,35.22,3,32.36,-54.0641,-37.856
34,259.17,10,123.54,25.6245,57.5533
31,235.5,18,227.55,3.4641,2
9,59.1,28,357.49,72.9644,47.3836
26,195.3,23,292.43,-11.0819,-14.1842
39,299.37,15,188.51,76.6534,19.1118
4,19.02,9,110.52,-12.276,-13.1644
18,131.03,18,227.53,-3.97018,-0.487477
33,251.02,35,448.18,-11.1094,-28.941
12,83.33,27,344.12,32.4395,66.5107
25,187.51,29,370.29,-57.3577,-81.9152
33,251.54,6,70.99,21.7514,10.1428
6,35.19,26,331.53,42.4819,65.4163
10,67.2,20,253.34,32.3703,31.2596
12,83.14,25,318.36,-60.6963,-45.7379
21,154.98,38,487.19,12.6668,2.92436
35,267.03,35,448.1,0,0
33,251.56,21,266.09,-59.0583,-42.9083
14,99.55,35,448.03,83.1985,25.4363
36,275.16,1,6.1,-22.2153,-18.6408
5,27.21,19,240,-13.8276,-2.19008
2,2.98,31,396.46,-22.9566,-12.2063
29,219.17,14,175.19,6.53568,10.064
26,195.35,32,408.98,19.7267,40.4457
25,187.38,11,136.23,25.0534,38.5788
3,11.29,38,487.39,11.6572,9.4398
27,203.26,38,487.47,-0.987688,-0.156434
13,91.37,36,461.45,-64.3084,-14.8468
22,163.17,19,240.51,47.4059,38.3885
33,251.15,17,214.01,-42.8985,-35.9961
38,291.45,27,344.13,32.1394,38.3022
33,251.06,4,45,-26.3543,-31.4078
39,299.42,7,84.13,19.9659,15.0454
24,179.44,22,279.12,-13.0899,-23.6147
31,235.23,34,435.45,-45.2595,-62.2943
36,275.1,39,500.4,48.6261,50.3538
38,291.32,31,396.32,-81.688,-7.14676
2,3.34,27,344.47,12.8942,30.3766
4,19.47,11,136.35,-1.07511,-2.80074
34,259.06,23,292.38,28.2567,6.52358
12,83.42,11,136.08,-68.2496,-19.5702
32,243.16,8,97.2,-17.5807,-51.058
26,194.98,36,461.1,-8.65136,-2.48073
38,291.44,23,291.98,4.04509,2.93892
38,291.49,10,123.5,-39.3816,-54.2041
11,75.02,25,317.99,-1.30228,-3.78207
36,275.25,17,214.41,-27.9773,-22.6555
23,171.07,25,318.28,-32.9109,-30.6899
12,83.22,35,448.13,-16.7714,-12.6381
29,219.34,24,305.36,29.1073,54.7427
10,67.1,14,175.24,13.5946,6.33927
33,251.48,31,396.08,7.87846,1.38918
27,203.4,17,214.29,26.5193,69.0849
0,-12.65,22,279.04,24.9928,7.16657
31,235.32,10,123.53,-26.423,-21.3969
25,187.14,17,214.37,-34.427,-10.5254
30,227.47,36,461.1,50.975,62.9488
20,147.45,19,240.26,-82.693,-30.0977
